Date,BMY,HSIC,HRB,GE,INCY
2017/6/28,51.13137817,72.26667023,27.46813965,24.55615044,134.33000180000002
2017/6/29,51.08562469,71.5215683,27.59323883,24.50174332,128.7799988
2017/6/30,50.99410248,71.77255249,27.62004852,24.49267006,125.9100037
2017/7/3,51.4974556,71.36078644,27.75407982,24.89166451,125.8700027
2017/7/5,51.93059158,72.03137207,27.73620987,24.80098152,128.3399963
2017/7/6,50.94451141,71.02352905,27.95066452,23.85791206,127.22000120000001
2017/7/7,51.52510834,71.70195770000001,28.03108597,23.71282196,130.8399963
2017/7/10,51.54353714,70.83137512,27.99534607,23.61307716,129.5599976
2017/7/11,50.99058914,70.85490417,27.98640633,23.92139053,131.9199982
2017/7/12,50.72333908,71.83137512,28.15618706,24.10274696,133.2200012
2017/7/13,50.38235474,71.54117584,27.92385864,24.29317856,133.4199982
2017/7/14,50.82471085,72.36078644,27.28049469,24.28410721,134.2700043
2017/7/17,50.49294662,72.74901581,27.08390617,24.32037926,130.61999509999998
2017/7/18,50.44687653,72.30588531,27.11965179,24.38385773,130.8500061
2017/7/19,50.75097275,72.62744904,27.05710602,24.42920113,130.4499969
2017/7/20,51.09196472,72.32941437,27.33411026,24.20249939,133.7899933
2017/7/21,51.28549957,72.51764679,26.628192900000002,23.49519157,134.22000119999998
2017/7/24,51.2394104,72.81961059999999,26.61032104,23.05992889,138.2700043
2017/7/25,51.56196976,72.44705963,27.00348854,23.06899643,133.5599976
2017/7/26,51.58961487,72.44705963,26.96774673,23.205019,137.1900024
2017/7/27,49.98608017,71.69803619,27.17326736,23.38637733,132.7200012
2017/7/28,50.93529892,71.72940826,27.01242447,23.15060806,135.7400055
2017/7/31,52.43746185,71.45490265,27.2536869,23.22315216,133.2899933
2017/8/1,51.70941925,71.08627319,27.36091232,23.06899643,128.7599945
2017/8/2,50.89843369,70.31372833,27.22687912,23.14154243,125.70999909999999
2017/8/3,51.14725876,70.26667023,27.28942871,23.35917282,125.9800034
2017/8/4,51.56196976,70.08235168,26.88732529,23.37730789,128.6999969
2017/8/7,51.88451385,72.07450867,27.01242447,23.24129105,132.0
2017/8/8,52.44667816,68.24313354,27.08390617,23.17781258,130.6999969
2017/8/9,52.89824677,66.52941132,27.61111069,23.31383133,130.0800018
