Date,MMC,FIS,CTXS,AJG,ARE
2016/9/8,62.67642975,75.68509674,67.28625488,45.85743332,101.88538359999998
2016/9/9,60.87748718,73.90899658,64.92218018,44.83615112,95.35553741
2016/9/12,61.99374771,74.52968597,65.57756805,45.76624298,97.60690308
2016/9/13,61.00664520000001,73.23101044,65.04701233,45.24648666,93.66926575
2016/9/14,60.72990036,72.87648773,64.93778229,45.06412125,94.34197235
2016/9/15,61.25573349,73.44181061,65.42932892,45.61123276,94.78148651
2016/9/16,60.80369949,71.94709778,64.73491669,45.27384186,95.30171967
2016/9/19,61.13579941,72.7232132,65.04701233,45.50181198,96.87139893
2016/9/20,61.62473679,73.36515808,64.90656281,45.66594696,96.92521667
2016/9/21,62.39042664,73.89213562,65.93647003,46.1948204,98.98822021
2016/9/22,62.92550278,74.27537537,66.44360352,46.59604263,101.3830719
2016/9/23,62.13214874,73.85380554,66.24855804,46.21305466,101.70599370000001
2016/9/26,61.81847763,73.65258789,65.97547913,45.97597122,102.0827255
2016/9/27,62.17827988,74.48616791,66.51382446,46.32248306,100.9435806
2016/9/28,62.02142715,73.99753571,67.12241364,46.47749329,101.9011612
2016/9/29,61.25573349,73.62387085,66.27197266,45.88478851,99.18199921
2016/9/30,62.0398674,73.80591583,66.49040985,46.38631821,98.26054382
2016/10/3,61.77234268,73.6909256,65.66339111,46.01245117,96.03822327
2016/10/4,61.19115829,73.25975799999999,65.62438202,45.84830856,95.33359528
2016/10/5,61.18193436,73.65258789,66.28755951,45.97597122,93.44554138
2016/10/6,61.56211472,75.00357056,66.24855804,46.28601837,93.97852325
2016/10/7,61.80321121,74.38079071,65.77262115,46.11275482,93.84303284
2016/10/10,61.91505814,74.16999817,66.08470917,46.0762825,94.13210297
2016/10/11,61.07621765,73.28849792,64.81295013,45.42886353,92.0723877
2016/10/12,61.67272186,73.95921326,65.01580811,46.02157211,93.27388763
2016/10/13,61.21603394,73.1352005,65.06261444,45.65682983,93.86109161
2016/10/14,61.50494766,73.29808044,65.25767517,45.81184387,93.83398438
2016/10/17,60.88981247,72.63697052,64.89097595,45.51092911,94.09597015
2016/10/18,60.71272278,72.77109528,66.56845093,45.61123276,94.89997864
2016/10/19,61.32787704,73.12562561,67.33305359,45.61123276,95.10774994
2016/10/20,60.78728867,72.13873291,67.36426544,44.84526443,96.04727936
2016/10/21,60.61019897,71.87045288,66.47481537,44.65378571,96.43572235
2016/10/24,60.55429077,72.7232132,67.23162842,44.27079391,96.40861511
2016/10/25,58.438564299999996,72.39743042,66.24075317,44.10667038,96.96870422
2016/10/26,58.92322159,72.00460052,65.46053314,44.23432922,95.90274048
2016/10/27,58.88594818,70.98896027,65.03921509,43.86046219,94.96320343
